Jesse Walden,NYU,Double Blind,doubleblind.it
Michael Bronfman,NYU,CALm,http://michaelbronfman.com/calm/
Jonas Maaløe,Parsons/Copenhagen,LAZA KNITEZ!!,www.lazaknitez.com
Brian McFadden,Parsons,HipHop Versus Database,http://www.hiphopversus.com/
Michael Karlesky,NYU Poly,Fidget Widgets,http://vimeo.com/53201483
Steve Kaliski,NYU,Twitter Visuals,http://sjkaliski.twittervisuals.nodejitsu.com/
Aisen Caro Chacin,Parsons,echolocation headphones,#
Brian Shimmerlik,NYU,TaxiTreats,TaxiTreatsNYC.com
Jesse Spielman,NYU ITP,Fire Scene,#
Hannah Davis,NYU ITP,FaceOSC,#
Omer Shapira,NYU ITP,L-System forest,http://www.youtube.com/watch?v=7DPDkB-4flM
Misha Ponizil,NYU,Amplifyre and Squarespace,http://amplifyre.com and https://misha-ponizil-zh2m.squarespace.com/
